gerador_cnpj,destinador_cnpj
76323633000100,82827148000169.0
7756675000104,83102749000177.0
95886735000170,82845744000171.0
82765488000102,82765488000102.0
72332778000966,83021808000182.0
3111139000109,83102640000130.0
95886735000170,83102244000102.0
6101313000112,82548983000160.0
82909409000190,82909409000190.0
31049979000116,95991097000158.0
72332778000966,83021816000129.0
72332778001008,1612836000100.0
6101313000112,95778056000188.0
6101313000112,17243084000197.0
72332778000451,82939422000191.0
239339000145,82814575000102.0
6101313000112,82926536000105.0
50668722001916,82892332000192.0
72332778000966,83021881000154.0
239339000145,82939455000131.0
72332778000451,82939414000145.0
82777319000192,82777319000192.0
76323633000100,95992020000100.0
16978577000102,95886735000847.0
6101313000112,7581720000137.0
5666925000190,1612888000186.0
10443676000103,6123883000103.0
6101313000112,82916800000111.0
3094629000136,83009860000113.0
31049979000116,83102673000180.0
82901000000127,5727740000148.0
83102616000109,83102616000109.0
6101313000112,82915232000134.0
6101313000112,82558909000124.0
5666925000190,83102566000151.0
72332778000451,1613428000172.0
82602327000360,3720956000156.0
95886735000170,83102855000150.0
76323633000100,78497492000160.0
3111139000109,85461804000140.0
7541596000186,92791243000294.0
84693183000168,79016689000100.0
72332778001008,1593132000137.0
82901000001441,4910399000107.0
72332778000451,82939380000199.0
31049979000116,83102251000104.0
11881221000132,45989050001404.0
95886735000170,83108357000115.0
76323633000100,83039842000184.0
6101313000112,82929407000162.0
84693183000753,84693183000168.0
7756675000104,83102533000101.0
5666925000190,83102558000105.0
83102418000137,95832200000206.0
9268917000146,9268917000146.0
84693183000753,79016689000100.0
82901000001441,3720956000156.0
82959560000132,3901502000181.0
95886735000170,83102632000193.0
72332778000451,82939398000190.0
76323633000100,83074294000123.0
82901000001441,5608332000177.0
7128161000104,7128161000104.0
82926536000105,3392348000160.0
11170829000159,75416677000104.0
82901000001441,2692709000120.0
84693183000168,88610126000129.0
12092636000190,82892316000108.0
4328816000108,95990198000104.0
6101313000112,1614019000190.0
83102475000116,83102475000116.0
6101313000112,82916818000113.0
31049979000116,95952230000167.0
72332778000451,82777251000141.0
239339000145,83024257000100.0
31049979000116,83102426000183.0
76323633000100,82827999000101.0
7581720000137,6101313000112.0
83139758000132,83139758000132.0
83073536000164,82928664000180.0
76323633000100,82939232000174.0
6101313000112,17509587000161.0
95780441000160,95780441000160.0
81531162000158,6101313000112.0
82837741000196,6101313000112.0
72332778000451,82939430000138.0
83102475000116,83073536000164.0
5666925000190,83102459000123.0
9436576000170,45989050001404.0
86530318000795,6101313000112.0
83073536000164,83102665000133.0
7128161000104,3720956000156.0
6101313000112,82837741000196.0
95886735000170,83102228000110.0
82837741000196,82837741000196.0
83073536000164,83102640000130.0
50668722001916,82951195000110.0
82901000000127,2108584000149.0
86530318000876,6101313000112.0
95886735000170,83102376000134.0
9436576000170,83056804000130.0
83102541000158,83102541000158.0
239339000145,82815085000120.0
11881221000132,77911261000350.0
4572787000117,6101313000112.0
72332778001008,82821216000182.0
83073536000164,82558149000155.0
72332778000966,1566621000108.0
82901000000127,3720956000156.0
3111139000109,83102350000196.0
83073536000164,83102616000109.0
6101313000112,82960758000136.0
239339000145,95996187000131.0
6101313000112,83000323000102.0
31049979000116,83102707000136.0
83102426000183,83102426000183.0
86530318000442,6101313000112.0
49572629000103,49572629000103.0
4328816000108,83009860000113.0
72332778000966,83021840000168.0
6101313000112,82913211000180.0
76323633000100,78511052000110.0
5666925000190,76002641000147.0
11881221000132,84932748000201.0
3094629000136,83102277000152.0
3111139000109,83102798000100.0
1605479000152,6101313000112.0
23051064000117,83102541000158.0
83102277000152,83102277000152.0
84693183000168,3720956000156.0
83102533000101,83073536000164.0
31049979000116,83102657000197.0
6101313000112,80989965000198.0
6101313000112,82915026000124.0
6101313000112,1608905000101.0
83073536000164,83102848000159.0
84709955001699,3720956000156.0
6101313000112,82928698000174.0
95886735000170,79372520000185.0
31049979000116,83102616000109.0
83102525000165,83102525000165.0
84693183000753,3720956000156.0
83102533000101,83102533000101.0
95782785000108,6101313000112.0
72332778000966,83021857000115.0
6101313000112,95782785000108.0
31049979000116,83102574000106.0
4328816000108,83009886000161.0
84693183000168,6888426000100.0
82901000001441,5727740000148.0
76323633000100,1612744000120.0
6101313000112,82916826000160.0
82901000001441,5034679000153.0
5666925000190,76020460000143.0
82901000001441,3080160000186.0
1994951002997,64368000113.0
84709955001265,3720956000156.0
24334612000189,24334612000189.0
76323633000100,82826462000127.0
3111139000109,83102475000116.0
9436576000170,77911261000350.0
95886735000170,83102269000106.0
83074302000131,44862208000195.0
11170829000159,2888183000159.0
72332778001008,83028639000102.0
6101313000112,87876801000101.0
95886735000170,95954442000183.0
82901000000127,4910399000107.0
81366924000370,3392348000160.0
82892282002944,50668722001916.0
6101313000112,82963216000117.0
31049979000116,78493343000122.0
83073536000164,82928656000133.0
4328816000108,1612698000169.0
46656138000144,10351637000267.0
76323633000100,30753960000193.0
5278562000115,5278562000115.0
82901000000127,5608332000177.0
31049979000116,82844754000192.0
9436576000170,84932748000201.0
83779462000186,95886735000847.0
76323633000100,83102566000151.0
50668722001916,82892357000196.0
86530318000957,6101313000112.0
7756675000104,11828418000108.0
3111139000109,83102772000161.0
95886735000170,82925025000160.0
78492576000100,78492576000100.0
76323633000100,82827353000124.0
82901000000127,2692709000120.0
83102525000165,83073536000164.0
83102681000126,83102681000126.0
83102384000180,16724931000172.0
4328816000108,83021865000161.0
6101313000112,4572787000117.0
82561093000198,82561093000198.0
82959560000132,3720956000156.0
72332778000966,95990107000130.0
50668722001916,82892316000108.0
3295188000130,3295188000130.0
1608905000101,1608905000101.0
84709955000102,3720956000156.0
3111139000109,83102806000118.0
9436576000170,81905176001409.0
83102624000147,83073536000164.0
6101313000112,1605479000152.0
95886735000170,83102343000194.0
8289417000128,8289417000128.0
83073536000164,16780795000138.0
10619295000213,29958609000150.0
83073536000164,87866745000116.0
10619295000132,59105999003959.0
36763716000198,6101313000112.0
1608905000101,6101313000112.0
95886735000170,83102830000157.0
84693183000168,7226794000155.0
82915026000124,82915026000124.0
72332778001008,82821174000180.0
29166055920,89548523000261.0
72332778000966,83028415000109.0
5666925000190,81140303000101.0
83102368000198,83102368000198.0
239339000145,82777244000140.0
82901000000127,3080160000186.0
4328816000108,78505591000146.0
82928706000182,39598250000100.0
6101313000112,82911249000113.0
82901000001441,2108584000149.0
8944802000161,6101313000112.0
6101313000112,82930181000110.0
6101313000112,10610252000196.0
76323633000100,95949806000137.0
4328816000108,83009894000108.0
31049979000116,82777335000185.0
82915026000124,6101313000112.0
31049979000116,83102848000159.0
50668722001916,82924390000150.0
31049979000116,83102624000147.0
87851200000136,87851200000136.0
239339000145,83024240000153.0
31049979000116,83102582000144.0
6101313000112,81531162000158.0
